Raw data,,,,,,,,,
"CRS
(RPM)","AR
(mm/min)",F/A(MF),T/D3(MT),"UEP
(MPa)","LEP
(MPa)",SE(kWĘ h/m3),FPI,TPI,PR(mm/r)
,,,,,,,,,
"1,3",22,"199,21 ","3,49 ","0,03","0,04","4,24 ","774,09 ","157,77 ","16,92 "
"1,4",39,"196,17 ","2,86 ","0,05","0,13","2,14 ","463,08 ","78,62 ","27,86 "
"1,1",31,"229,62 ","4,28 ","0,06","0,1","3,15 ","535,81 ","116,39 ","28,18 "
"1,2",20,"304,14 ","2,58 ","0,1","0,14","3,24 ","1200,00 ","118,80 ","16,67 "
"1,2",30,"258,52 ","3,30 ","0,17","0,15","2,76 ","680,00 ","101,20 ","25,00 "
"1,1",38,"290,45 ","3,17 ","0,12","0,15","1,95 ","552,89 ","70,34 ","34,55 "
"1,2",30,"278,28 ","2,88 ","0,13","0,15","2,42 ","732,00 ","88,40 ","25,00 "
"1,1",35,"313,26 ","2,57 ","0,11","0,15","1,73 ","647,43 ","61,91 ","31,82 "
"1,3",36,"311,74 ","2,30 ","0,09","0,12","1,77 ","740,28 ","63,56 ","27,69 "
"1,2",46,"288,93 ","3,52 ","0,12","0,15","1,95 ","495,65 ","70,43 ","38,33 "
"1,2",41,"293,49 ","2,96 ","0,12","0,1","1,84 ","564,88 ","66,44 ","34,17 "
"1,3",45,"298,05 ","2,87 ","0,12","0,14","1,77 ","566,22 ","63,56 ","34,62 "
"1,3",47,"285,89 ","2,87 ","0,12","0,12","1,69 ","520,00 ","60,85 ","36,15 "
"1,2",35,"270,68 ","2,87 ","0,15","0,18","2,08 ","610,29 ","75,43 ","29,17 "
"1,3",34,"273,72 ","1,96 ","0,14","0,13","1,60 ","688,24 ","57,35 ","26,15 "
"1,2",45,"278,28 ","2,78 ","0,13","0,14","1,58 ","488,00 ","56,80 ","37,50 "
"1,2",42,"287,65 ","2,76 ","0,12","0,12","1,68 ","540,46 ","60,34 ","35,00 "
"1,3",37,"288,93 ","2,48 ","0,12","0,1","1,85 ","667,57 ","66,76 ","28,46 "
"1,4",35,"288,93 ","1,92 ","0,14","0,16","1,64 ","760,00 ","58,80 ","25,00 "
"1,2",45,"266,55 ","3,33 ","0,11","0,12","1,88 ","467,41 ","68,00 ","37,50 "
"1,2",43,"269,25 ","3,74 ","0,11","0,13","2,19 ","494,12 ","79,90 ","35,83 "
"1,3",38,"281,33 ","2,78 ","0,11","0,1","2,01 ","632,89 ","72,87 ","29,23 "
"1,3",41,"290,30 ","2,92 ","0,1","0,12","1,96 ","605,29 ","70,96 ","31,54 "
"1,3",44,"296,41 ","3,05 ","0,12","0,14","1,91 ","575,90 ","69,02 ","33,85 "
"1,2",42,"278,80 ","3,04 ","0,1","0,12","1,84 ","523,83 ","66,57 ","35,00 "
"1,3",35,"284,37 ","3,00 ","0,12","0,14","2,35 ","694,57 ","85,43 ","26,92 "
"1,4",41,"290,45 ","2,48 ","0,12","0,14","1,80 ","652,20 ","64,88 ","29,29 "
"1,3",43,"288,93 ","3,30 ","0,11","0,13","2,11 ","574,42 ","76,49 ","33,08 "
"1,3",34,"331,96 ","3,43 ","0,12","0,12","2,76 ","834,68 ","100,44 ","26,15 "
"1,4",35,"349,76 ","3,00 ","0,16","0,12","2,54 ","920,00 ","92,00 ","25,00 "
"1,3",39,"385,49 ","4,38 ","0,14","0,17","3,07 ","845,00 ","111,80 ","30,00 "
"1,3",35,"329,99 ","3,26 ","0,12","0,15","2,55 ","806,00 ","92,86 ","26,92 "
"1,3",35,"395,38 ","4,57 ","0,16","0,14","3,56 ","965,71 ","130,00 ","26,92 "
"1,2",40,"380,17 ","4,18 ","0,14","0,18","2,65 ","750,00 ","96,00 ","33,33 "
"1,4",34,"377,13 ","3,21 ","0,17","0,18","2,79 ","1021,18 ","101,29 ","24,29 "
"1,2",40,"358,80 ","4,10 ","0,14","0,19","2,60 ","707,85 ","94,32 ","33,33 "
"1,3",35,"369,57 ","3,69 ","0,14","0,16","2,89 ","902,68 ","104,89 ","26,92 "
"1,4",37,"380,17 ","3,13 ","0,15","0,15","2,51 ","945,95 ","90,81 ","26,43 "
"1,2",38,"410,58 ","5,22 ","0,16","0,19","3,46 ","852,63 ","126,32 ","31,67 "
"1,3",42,"342,15 ","4,31 ","0,16","0,19","2,80 ","696,43 ","102,14 ","32,31 "
"1,4",50,"352,80 ","3,04 ","0,17","0,16","1,83 ","649,60 ","65,24 ","35,71 "
"1,5",51,"361,92 ","2,91 ","0,15","0,15","1,84 ","700,00 ","65,59 ","34,00 "
"1,4",45,"352,80 ","2,87 ","0,15","0,16","1,91 ","721,78 ","68,44 ","32,14 "
"1,4",42,"357,36 ","5,50 ","0,14","0,15","3,82 ","783,33 ","140,33 ","30,00 "
"1,3",40,"372,72 ","4,91 ","0,16","0,19","3,35 ","796,58 ","122,20 ","30,77 "
"1,3",40,"380,17 ","4,31 ","0,17","0,18","2,95 ","812,50 ","107,25 ","30,77 "
"1,2",31,"380,17 ","2,61 ","0,17","0,2","2,16 ","967,74 ","77,42 ","25,83 "
"1,3",25,"364,96 ","4,96 ","0,15","0,15","5,34 ","1248,00 ","197,60 ","19,23 "
"1,2",12,"374,09 ","3,05 ","0,18","0,17","6,31 ","2460,00 ","234,00 ","10,00 "
"1,3",20,"377,13 ","3,07 ","0,16","0,16","4,16 ","1612,00 ","152,75 ","15,38 "
"1,2",31,"334,55 ","3,00 ","0,17","0,15","2,45 ","851,61 ","89,03 ","25,83 "
"1,3",15,"310,22 ","4,57 ","0,16","0,16","8,13 ","1768,00 ","303,33 ","11,54 "
"1,3",20,"345,19 ","6,14 ","0,11","0,15","8,20 ","1475,50 ","305,50 ","15,38 "
"1,2",17,"395,38 ","9,14 ","0,08","0,12","13,22 ","1835,29 ","494,12 ","14,17 "
"1,3",10,"396,90 ","6,92 ","0,08","0,16","18,39 ","3393,00 ","689,00 ","7,69 "
"1,2",12,"424,27 ","8,20 ","0,1","0,11","16,78 ","2790,00 ","628,00 ","10,00 "
1,20,"456,20 ","9,27 ","0,03","0,11","9,54 ","1500,00 ","355,00 ","20,00 "
"1,2",12,"436,44 ","6,10 ","0,08","0,11","12,51 ","2870,00 ","467,00 ","10,00 "
"1,2",7,"456,20 ","9,14 ","0,08","0,11","31,96 ","5142,86 ","1200,00 ","5,83 "
"1,3",15,"349,76 ","7,18 ","0,12","0,18","12,74 ","1993,33 ","476,67 ","11,54 "
"1,2",12,"387,77 ","7,18 ","0,09","0,16","14,70 ","2550,00 ","550,00 ","10,00 "
"1,2",25,"329,99 ","5,87 ","0,14","0,14","5,82 ","1041,60 ","216,00 ","20,83 "
"1,3",18,"339,11 ","5,35 ","0,18","0,18","7,95 ","1610,56 ","296,11 ","13,85 "
"1,2",25,"314,78 ","4,83 ","0,18","0,15","4,80 ","993,60 ","177,60 ","20,83 "
"1,2",20,"311,74 ","4,70 ","0,19","0,17","5,82 ","1230,00 ","216,00 ","16,67 "
"1,3",20,"334,55 ","3,92 ","0,16","0,17","5,27 ","1430,00 ","195,00 ","15,38 "
"1,2",18,"364,96 ","6,27 ","0,12","0,16","8,59 ","1600,00 ","320,00 ","15,00 "
"1,2",15,"418,19 ","7,44 ","0,1","0,17","12,21 ","2200,00 ","456,00 ","12,50 "
"1,3",15,"415,15 ","8,48 ","0,1","0,16","15,06 ","2366,00 ","563,33 ","11,54 "
"1,3",15,"406,02 ","6,79 ","0,08","0,11","12,07 ","2314,00 ","450,67 ","11,54 "
"1,3",10,"422,75 ","7,05 ","0,15","0,15","18,74 ","3614,00 ","702,00 ","7,69 "
"1,3",12,"488,14 ","7,58 ","0,12","0,19","16,83 ","3477,50 ","629,42 ","9,23 "
"1,3",15,"425,79 ","7,70 ","0,18","0,2","13,68 ","2426,67 ","511,33 ","11,54 "
"1,2",15,"441,00 ","6,14 ","0,16","0,2","10,10 ","2320,00 ","376,00 ","12,50 "
"1,3",12,"445,56 ","8,35 ","0,11","0,13","18,52 ","3174,17 ","693,33 ","9,23 "
"1,2",12,"441,00 ","6,79 ","0,08","0,14","13,92 ","2900,00 ","520,00 ","10,00 "
"1,2",15,"425,79 ","8,48 ","0,13","0,18","13,91 ","2240,00 ","520,00 ","12,50 "
"1,3",12,"471,41 ","8,88 ","0,1","0,16","19,67 ","3358,33 ","736,67 ","9,23 "
"1,3",15,"463,81 ","7,44 ","0,11","0,16","13,23 ","2643,33 ","494,00 ","11,54 "
"1,3",12,"486,62 ","7,44 ","0,16","0,14","16,52 ","3466,67 ","617,50 ","9,23 "
"1,2",25,"410,58 ","4,96 ","0,11","0,15","4,95 ","1296,00 ","182,40 ","20,83 "
"1,4",25,"372,57 ","5,35 ","0,12","0,14","6,19 ","1372,00 ","229,60 ","17,86 "
"1,2",23,"416,67 ","4,83 ","0,14","0,13","5,24 ","1429,57 ","193,04 ","19,17 "
"1,3",25,"410,58 ","4,11 ","0,18","0,14","4,46 ","1404,00 ","163,80 ","19,23 "
"1,3",35,"395,38 ","3,92 ","0,2","0,15","3,07 ","965,71 ","111,43 ","26,92 "
"1,3",30,"380,17 ","4,57 ","0,18","0,21","4,13 ","1083,33 ","151,67 ","23,08 "
"1,3",37,"380,17 ","4,31 ","0,19","0,21","3,18 ","878,38 ","115,95 ","28,46 "
"1,3",38,"375,61 ","3,92 ","0,19","0,2","2,83 ","845,00 ","102,63 ","29,23 "
"1,3",35,"378,65 ","3,00 ","0,19","0,18","2,37 ","924,86 ","85,43 ","26,92 "
"1,3",38,"368,00 ","3,52 ","0,19","0,18","2,55 ","827,89 ","92,37 ","29,23 "
"1,2",40,"360,40 ","3,64 ","0,19","0,21","2,32 ","711,00 ","83,70 ","33,33 "
"1,3",40,"361,92 ","3,88 ","0,2","0,21","2,66 ","773,50 ","96,53 ","30,77 "
"1,3",40,"380,17 ","3,66 ","0,21","0,19","2,52 ","812,50 ","91,00 ","30,77 "
"1,3",40,"349,76 ","3,66 ","0,19","0,18","2,51 ","747,50 ","91,00 ","30,77 "
"1,3",40,"349,76 ","4,05 ","0,2","0,21","2,77 ","747,50 ","100,75 ","30,77 "
"1,3",40,"339,11 ","3,49 ","0,18","0,19","2,40 ","724,75 ","86,78 ","30,77 "
"1,3",40,"334,55 ","3,73 ","0,16","0,18","2,56 ","715,00 ","92,95 ","30,77 "
"1,3",40,"351,28 ","2,92 ","0,19","0,19","2,03 ","750,75 ","72,80 ","30,77 "
"1,3",40,"364,96 ","3,92 ","0,18","0,19","2,69 ","780,00 ","97,50 ","30,77 "
"1,3",27,"299,57 ","2,58 ","0,14","0,12","2,61 ","948,52 ","95,33 ","20,77 "
"1,2",25,"299,57 ","2,58 ","0,16","0,14","2,60 ","945,60 ","95,04 ","20,83 "
"1,3",35,"349,76 ","3,66 ","0,22","0,15","2,86 ","854,29 ","104,00 ","26,92 "
"1,3",37,"331,51 ","2,74 ","0,21","0,17","2,05 ","765,95 ","73,78 ","28,46 "
"1,2",40,"317,82 ","2,74 ","0,19","0,19","1,76 ","627,00 ","63,00 ","33,33 "
"1,3",25,"319,34 ","2,87 ","0,21","0,19","3,12 ","1092,00 ","114,40 ","19,23 "
"1,3",35,"270,68 ","2,74 ","0,14","0,17","2,14 ","661,14 ","78,00 ","26,92 "
"1,3",35,"349,76 ","3,26 ","0,18","0,19","2,56 ","854,29 ","92,86 ","26,92 "
"1,3",45,"345,19 ","3,39 ","0,18","0,2","2,09 ","655,78 ","75,11 ","34,62 "
"1,2",40,"349,76 ","3,26 ","0,16","0,19","2,09 ","690,00 ","75,00 ","33,33 "
"1,3",30,"319,34 ","2,74 ","0,18","0,19","2,50 ","910,00 ","91,00 ","23,08 "
"1,3",38,"349,76 ","3,00 ","0,21","0,19","2,18 ","786,84 ","78,68 ","29,23 "
"1,3",35,"349,76 ","3,26 ","0,22","0,2","2,56 ","854,29 ","92,86 ","26,92 "
"1,3",35,"319,34 ","2,87 ","0,19","0,19","2,26 ","780,00 ","81,71 ","26,92 "
"1,3",39,"316,30 ","2,70 ","0,18","0,18","1,92 ","693,33 ","69,00 ","30,00 "
"1,3",35,"349,76 ","4,26 ","0,15","0,15","3,31 ","854,29 ","121,09 ","26,92 "
"1,3",35,"349,76 ","3,92 ","0,17","0,18","3,05 ","854,29 ","111,43 ","26,92 "
"1,3",40,"349,76 ","3,66 ","0,19","0,2","2,51 ","747,50 ","91,00 ","30,77 "
"1,3",39,"319,34 ","2,87 ","0,16","0,16","2,03 ","700,00 ","73,33 ","30,00 "
"1,3",38,"329,99 ","2,87 ","0,18","0,17","2,09 ","742,37 ","75,26 ","29,23 "
"1,3",35,"471,41 ","4,18 ","0,18","0,18","3,28 ","1151,43 ","118,86 ","26,92 "
"1,3",35,"334,55 ","3,13 ","0,16","0,16","2,46 ","817,14 ","89,14 ","26,92 "
"1,3",45,"329,99 ","2,87 ","0,18","0,19","1,78 ","626,89 ","63,56 ","34,62 "
"1,3",45,"334,55 ","2,87 ","0,17","0,17","1,78 ","635,56 ","63,56 ","34,62 "
"1,3",40,"349,76 ","3,00 ","0,17","0,19","2,08 ","747,50 ","74,75 ","30,77 "
"1,3",45,"319,34 ","2,68 ","0,14","0,15","1,66 ","606,67 ","59,22 ","34,62 "
"1,3",47,"334,55 ","3,13 ","0,17","0,21","1,85 ","608,51 ","66,38 ","36,15 "
"1,3",50,"339,11 ","4,31 ","0,16","0,17","2,37 ","579,80 ","85,80 ","38,46 "
"1,3",40,"349,76 ","3,66 ","0,15","0,18","2,51 ","747,50 ","91,00 ","30,77 "
"1,3",45,"346,72 ","4,05 ","0,16","0,17","2,47 ","658,67 ","89,56 ","34,62 "
"1,3",45,"339,11 ","4,05 ","0,17","0,19","2,47 ","644,22 ","89,56 ","34,62 "
"1,3",49,"323,91 ","3,79 ","0,17","0,18","2,13 ","565,10 ","76,94 ","37,69 "
"1,3",45,"329,99 ","3,20 ","0,17","0,17","1,97 ","626,89 ","70,78 ","34,62 "
"1,3",40,"349,76 ","3,00 ","0,15","0,16","2,08 ","747,50 ","74,75 ","30,77 "
"1,3",45,"364,66 ","2,64 ","0,07","0,12","1,65 ","692,76 ","58,44 ","34,62 "
"1,3",46,"302,69 ","3,61 ","0,09","0,12","2,16 ","562,53 ","78,25 ","35,38 "
"1,3",54,"293,64 ","4,21 ","0,12","0,12","2,14 ","464,87 ","77,57 ","41,54 "
"1,3",40,"334,55 ","3,66 ","0,18","0,2","2,51 ","715,00 ","91,00 ","30,77 "
"1,3",45,"349,76 ","3,72 ","0,16","0,18","2,28 ","664,44 ","82,33 ","34,62 "
"1,3",55,"329,99 ","4,44 ","0,12","0,14","2,22 ","512,91 ","80,36 ","42,31 "
"1,3",55,"329,99 ","4,18 ","0,14","0,16","2,10 ","512,91 ","75,64 ","42,31 "
"1,3",55,"316,30 ","3,79 ","0,14","0,17","1,91 ","491,64 ","68,55 ","42,31 "
"1,3",45,"361,92 ","4,05 ","0,15","0,15","2,48 ","687,56 ","89,56 ","34,62 "
"1,3",55,"334,55 ","4,18 ","0,16","0,16","2,10 ","520,00 ","75,64 ","42,31 "
"1,3",45,"334,55 ","4,31 ","0,18","0,18","2,62 ","635,56 ","95,33 ","34,62 "
"1,3",50,"325,43 ","2,87 ","0,17","0,17","1,61 ","556,40 ","57,20 ","38,46 "
"1,3",50,"345,19 ","3,66 ","0,15","0,15","2,03 ","590,20 ","72,80 ","38,46 "
"1,3",50,"361,92 ","3,52 ","0,15","0,17","1,96 ","618,80 ","70,20 ","38,46 "
"1,3",50,"314,78 ","3,79 ","0,19","0,15","2,09 ","538,20 ","75,40 ","38,46 "
"1,3",60,"334,55 ","4,18 ","0,18","0,16","1,93 ","476,67 ","69,33 ","46,15 "
"1,3",40,"349,76 ","4,31 ","0,13","0,15","2,94 ","747,50 ","107,25 ","30,77 "
"1,3",30,"336,07 ","4,57 ","0,13","0,16","4,12 ","957,67 ","151,67 ","23,08 "
"1,3",20,"334,55 ","3,92 ","0,06","0,09","5,27 ","1430,00 ","195,00 ","15,38 "
"1,3",17,"375,61 ","8,48 ","0,08","0,09","13,29 ","1888,82 ","497,06 ","13,08 "
"1,3",25,"372,57 ","4,67 ","0,13","0,16","5,04 ","1274,00 ","186,16 ","19,23 "
"1,3",10,"389,29 ","7,70 ","0,14","0,09","20,45 ","3328,00 ","767,00 ","7,69 "
"1,3",20,"395,38 ","5,87 ","0,12","0,12","7,87 ","1690,00 ","292,50 ","15,38 "
"1,3",40,"346,72 ","7,44 ","0,12","0,12","5,01 ","741,00 ","185,25 ","30,77 "
"1,3",40,"334,55 ","6,53 ","0,13","0,15","4,40 ","715,00 ","162,50 ","30,77 "
"1,3",45,"319,34 ","6,79 ","0,14","0,15","4,07 ","606,67 ","150,22 ","34,62 "
"1,3",42,"351,28 ","6,14 ","0,1","0,1","3,96 ","715,00 ","145,48 ","32,31 "
"1,3",35,"360,40 ","4,57 ","0,11","0,11","3,55 ","880,29 ","130,00 ","26,92 "
"1,2",21,"384,84 ","6,85 ","0,05","0,12","8,06 ","1446,11 ","299,71 ","17,50 "
"1,3",22,"364,96 ","7,18 ","0,07","0,15","8,72 ","1418,18 ","325,00 ","16,92 "
"1,3",10,"364,96 ","5,22 ","0,07","0,09","13,90 ","3120,00 ","520,00 ","7,69 "
"1,3",23,"394,63 ","7,12 ","0,05","0,12","8,28 ","1466,80 ","308,10 ","17,69 "
"1,3",30,"380,17 ","7,18 ","0,05","0,11","6,43 ","1083,33 ","238,33 ","23,08 "
"1,3",25,"441,00 ","7,70 ","0,06","0,07","8,26 ","1508,00 ","306,80 ","19,23 "
"1,3",35,"422,75 ","7,57 ","0,06","0,08","5,83 ","1032,57 ","215,43 ","26,92 "
"1,3",33,"441,00 ","7,60 ","0,05","0,07","6,20 ","1142,42 ","229,27 ","25,38 "
"1,3",25,"402,98 ","6,92 ","0,02","0,08","7,42 ","1378,00 ","275,60 ","19,23 "
"1,3",25,"425,79 ","7,44 ","0,05","0,05","7,98 ","1456,00 ","296,40 ","19,23 "
"1,3",30,"406,02 ","7,83 ","0,07","0,07","7,01 ","1157,00 ","260,00 ","23,08 "
"1,5",20,"433,39 ","7,18 ","0,06","0,06","11,06 ","2137,50 ","412,50 ","13,33 "
"1,28",26,"312,76 ","3,39 ","0,08","0,12","3,48 ","1012,53 ","127,80 ","20,31 "
"1,3",35,"334,55 ","4,96 ","0,08","0,09","3,84 ","817,14 ","141,14 ","26,92 "
"1,3",38,"290,45 ","4,83 ","0,06","0,07","3,44 ","653,42 ","126,58 ","29,23 "
"1,32",40,"299,74 ","5,09 ","0,08","0,11","3,50 ","650,46 ","128,63 ","30,30 "
"1,2",40,"261,57 ","4,48 ","0,05","0,07","2,80 ","516,03 ","102,87 ","33,33 "
"1,3",51,"262,71 ","3,99 ","0,07","0,07","2,14 ","440,37 ","78,00 ","39,23 "
"1,3",55,"279,81 ","4,47 ","0,06","0,07","2,23 ","434,91 ","80,95 ","42,31 "
"1,3",50,"288,93 ","4,18 ","0,09","0,09","2,29 ","494,00 ","83,20 ","38,46 "
"1,3",55,"264,60 ","3,59 ","0,09","0,09","1,80 ","411,27 ","65,00 ","42,31 "
"1,3",60,"263,08 ","3,63 ","0,09","0,09","1,67 ","374,83 ","60,23 ","46,15 "
"1,3",60,"261,56 ","3,60 ","0,1","0,08","1,66 ","372,67 ","59,80 ","46,15 "
"1,3",55,"281,54 ","3,11 ","0,11","0,11","1,57 ","437,60 ","56,28 ","42,31 "
"1,3",54,"250,09 ","3,06 ","0,1","0,1","1,57 ","395,92 ","56,41 ","41,54 "
"1,3",60,"250,91 ","3,13 ","0,1","0,1","1,45 ","357,50 ","52,00 ","46,15 "
"1,3",58,"266,12 ","3,79 ","0,1","0,1","1,80 ","392,24 ","65,00 ","44,62 "
"1,3",60,"260,04 ","3,90 ","0,1","0,1","1,79 ","370,50 ","64,78 ","46,15 "
"1,4",65,"255,47 ","4,57 ","0,11","0,12","2,07 ","361,85 ","75,38 ","46,43 "
"1,3",65,"264,60 ","3,52 ","0,1","0,1","1,51 ","348,00 ","54,00 ","50,00 "
"1,3",60,"273,72 ","3,88 ","0,12","0,12","1,78 ","390,00 ","64,35 ","46,15 "
"1,3",50,"250,30 ","3,36 ","0,09","0,1","1,85 ","427,96 ","67,00 ","38,46 "
"1,3",55,"276,93 ","4,38 ","0,09","0,11","2,18 ","430,44 ","79,28 ","42,31 "
"1,2",53,"287,35 ","3,87 ","0,09","0,11","1,86 ","427,83 ","67,09 ","44,17 "
"1,3",40,"280,92 ","3,31 ","0,07","0,08","2,27 ","600,37 ","82,45 ","30,77 "
"1,3",40,"304,14 ","3,13 ","0,11","0,11","2,15 ","650,00 ","78,00 ","30,77 "
"1,4",47,"316,30 ","4,84 ","0,09","0,1","3,02 ","619,57 ","110,51 ","33,57 "
"1,3",48,"342,15 ","5,16 ","0,08","0,1","2,93 ","609,38 ","106,98 ","36,92 "
"1,3",38,"312,55 ","5,00 ","0,04","0,09","3,56 ","703,13 ","131,06 ","29,23 "
"1,3",48,"316,58 ","4,92 ","0,05","0,11","2,80 ","563,82 ","102,08 ","36,92 "
"1,3",43,"321,72 ","5,33 ","0,06","0,12","3,36 ","639,60 ","123,38 ","33,08 "
"1,4",60,"316,30 ","6,40 ","0,08","0,09","3,12 ","485,33 ","114,33 ","42,86 "
"1,3",63,"349,76 ","5,91 ","0,12","0,11","2,58 ","474,60 ","93,48 ","48,46 "
"1,3",50,"349,76 ","4,83 ","0,05","0,11","2,65 ","598,00 ","96,20 ","38,46 "
"1,3",50,"313,85 ","5,34 ","0,07","0,11","2,91 ","536,61 ","106,42 ","38,46 "
"1,2",54,"318,84 ","6,15 ","0,07","0,1","2,86 ","465,93 ","104,62 ","45,00 "
"1,3",53,"313,78 ","5,88 ","0,03","0,08","3,02 ","506,12 ","110,52 ","40,77 "
"1,3",40,"334,55 ","5,87 ","0,11","0,13","3,97 ","715,00 ","146,25 ","30,77 "
"1,3",50,"364,96 ","6,66 ","0,09","0,16","3,62 ","624,00 ","132,60 ","38,46 "
"1,3",57,"364,96 ","6,40 ","0,09","0,12","3,07 ","547,37 ","111,75 ","43,85 "
"1,3",48,"342,15 ","5,87 ","0,08","0,11","3,33 ","609,38 ","121,88 ","36,92 "
"1,26",50,"301,37 ","6,06 ","0,07","0,09","3,19 ","499,41 ","116,98 ","39,68 "
"1,2",56,"232,25 ","4,37 ","0,07","0,09","1,97 ","327,28 ","71,72 ","46,67 "
"1,3",58,"266,45 ","4,03 ","0,07","0,09","1,91 ","392,73 ","69,28 ","44,62 "
"1,3",60,"336,07 ","5,87 ","0,12","0,14","2,68 ","478,83 ","97,50 ","46,15 "
"1,3",58,"351,28 ","5,48 ","0,09","0,1","2,59 ","517,76 ","94,14 ","44,62 "
"1,3",53,"343,67 ","4,71 ","0,08","0,11","2,44 ","554,34 ","88,55 ","40,77 "
"1,2",53,"302,39 ","5,41 ","0,13","0,17","2,57 ","450,23 ","93,85 ","44,17 "
"1,2",50,"334,25 ","4,87 ","0,12","0,18","2,47 ","527,52 ","89,62 ","41,67 "
"1,3",50,"334,55 ","4,83 ","0,16","0,17","2,64 ","572,00 ","96,20 ","38,46 "
"1,3",63,"364,96 ","4,83 ","0,15","0,17","2,13 ","495,24 ","76,35 ","48,46 "
"1,3",60,"357,36 ","5,64 ","0,14","0,17","2,58 ","509,17 ","93,60 ","46,15 "
"1,3",47,"334,72 ","5,01 ","0,11","0,18","2,91 ","608,81 ","106,16 ","36,15 "
"1,2",49,"271,53 ","5,98 ","0,11","0,17","3,05 ","437,29 ","112,19 ","40,83 "
"1,2",47,"320,47 ","5,81 ","0,1","0,17","3,10 ","538,06 ","113,54 ","39,17 "
"1,3",40,"410,58 ","6,14 ","0,14","0,17","4,17 ","877,50 ","152,75 ","30,77 "
"1,3",47,"426,09 ","7,27 ","0,13","0,19","4,21 ","775,02 ","154,15 ","36,15 "
"1,3",36,"417,56 ","7,07 ","0,13","0,2","5,30 ","991,58 ","195,47 ","27,69 "
"1,3",38,"447,32 ","7,67 ","0,14","0,2","5,46 ","1006,34 ","201,09 ","29,23 "
"1,3",30,"456,20 ","6,92 ","0,19","0,17","6,22 ","1300,00 ","229,67 ","23,08 "
"1,3",55,"441,00 ","6,27 ","0,18","0,17","3,13 ","685,45 ","113,45 ","42,31 "
"1,3",65,"456,20 ","7,18 ","0,16","0,16","3,04 ","600,00 ","110,00 ","50,00 "
"1,3",45,"408,32 ","5,95 ","0,13","0,18","3,61 ","775,70 ","131,70 ","34,62 "
"1,3",55,"401,19 ","5,94 ","0,13","0,2","2,96 ","623,57 ","107,47 ","42,31 "
"1,28",57,"367,43 ","5,51 ","0,12","0,17","2,62 ","542,59 ","94,79 ","44,53 "
"1,2",55,"375,79 ","5,11 ","0,11","0,16","2,37 ","539,17 ","85,44 ","45,83 "
"1,2",55,"376,41 ","5,63 ","0,11","0,18","2,60 ","540,07 ","94,12 ","45,83 "
"1,3",50,"402,98 ","5,87 ","0,16","0,21","3,22 ","689,00 ","117,00 ","38,46 "
