Raw data,,,,,,,,,
"1,4",50,"439,48 ","5,87 ","0,17","0,22","3,46 ","809,20 ","126,00 ","35,71 "
"1,3",50,"453,16 ","6,14 ","0,17","0,22","3,37 ","774,80 ","122,20 ","38,46 "
"1,3",60,"448,60 ","6,51 ","0,13","0,2","2,99 ","639,17 ","108,12 ","46,15 "
"1,2",40,"441,67 ","6,24 ","0,17","0,23","3,93 ","871,32 ","143,49 ","33,33 "
"1,2",50,"477,68 ","7,62 ","0,17","0,25","3,85 ","753,89 ","140,14 ","41,67 "
"1,2",40,"513,78 ","7,70 ","0,16","0,24","4,84 ","1013,58 ","176,94 ","33,33 "
"1,3",43,"486,62 ","6,27 ","0,17","0,2","3,98 ","967,44 ","145,12 ","33,08 "
"1,3",60,"486,62 ","6,40 ","0,18","0,23","2,95 ","693,33 ","106,17 ","46,15 "
"1,3",55,"486,62 ","6,46 ","0,18","0,23","3,24 ","756,36 ","117,00 ","42,31 "
"1,3",40,"501,82 ","7,18 ","0,17","0,22","4,88 ","1072,50 ","178,75 ","30,77 "
"1,2",40,"505,98 ","7,30 ","0,17","0,23","4,59 ","998,19 ","167,85 ","33,33 "
"1,25",30,"536,82 ","7,81 ","0,17","0,24","6,76 ","1470,88 ","249,29 ","24,00 "
"1,3",30,"579,74 ","8,28 ","0,17","0,25","7,46 ","1652,04 ","274,99 ","23,08 "
"1,3",28,"631,08 ","9,53 ","0,24","0,24","9,17 ","1926,79 ","338,93 ","21,54 "
"1,3",22,"638,69 ","10,18 ","0,25","0,25","12,40 ","2481,82 ","460,91 ","16,92 "
"1,3",20,"608,27 ","11,88 ","0,22","0,25","15,86 ","2600,00 ","591,50 ","15,38 "
"1,3",17,"626,69 ","11,88 ","0,2","0,22","18,64 ","3151,43 ","696,11 ","13,08 "
"1,3",13,"636,79 ","12,21 ","0,2","0,21","24,99 ","4187,50 ","935,20 ","10,00 "
"1,3",15,"375,56 ","7,25 ","0,13","0,19","12,87 ","2140,41 ","481,09 ","11,54 "
"1,2",13,"684,31 ","9,53 ","0,19","0,18","18,07 ","4153,85 ","673,85 ","10,83 "
"1,3",15,"714,72 ","11,10 ","0,13","0,18","19,74 ","4073,33 ","736,67 ","11,54 "
"1,3",13,"667,94 ","12,37 ","0,16","0,19","25,33 ","4392,40 ","947,70 ","10,00 "
"1,3",13,"707,12 ","13,05 ","0,18","0,19","26,72 ","4650,00 ","1000,00 ","10,00 "
"1,3",12,"689,02 ","11,92 ","0,2","0,2","26,44 ","4908,58 ","989,63 ","9,23 "
"1,5",12,"669,10 ","11,75 ","0,21","0,2","30,03 ","5500,00 ","1125,00 ","8,00 "
"1,5",10,"729,93 ","11,88 ","0,2","0,2","36,41 ","7200,00 ","1365,00 ","6,67 "
"1,3",10,"668,66 ","14,22 ","0,19","0,25","37,75 ","5716,23 ","1415,96 ","7,69 "
"1,4",8,"701,03 ","14,36 ","0,21","0,25","51,26 ","8067,50 ","1925,00 ","5,71 "
1,9,"562,65 ","4,05 ","0,23","0,26","9,29 ","4111,11 ","344,44 ","9,00 "
"1,2",9,"626,49 ","6,18 ","0,18","0,26","16,93 ","5493,07 ","631,73 ","7,50 "
"1,3",10,"577,86 ","6,27 ","0,19","0,2","16,71 ","4940,00 ","624,00 ","7,69 "
"1,3",8,"692,27 ","7,91 ","0,2","0,26","26,30 ","7397,65 ","984,26 ","6,15 "
"1,3",6,"701,03 ","7,83 ","0,2","0,25","34,68 ","9988,33 ","1300,00 ","4,62 "
"1,3",10,"684,31 ","9,79 ","0,18","0,23","26,05 ","5850,00 ","975,00 ","7,69 "
"1,4",18,"608,27 ","7,89 ","0,18","0,24","12,65 ","3111,11 ","470,32 ","12,86 "
"1,3",10,"653,89 ","7,57 ","0,22","0,26","20,18 ","5590,00 ","754,00 ","7,69 "
"1,8",11,"623,48 ","6,53 ","0,18","0,23","21,88 ","6709,09 ","818,18 ","6,11 "
"1,3",10,"653,89 ","7,57 ","0,25","0,28","20,18 ","5590,00 ","754,00 ","7,69 "
"1,5",10,"593,07 ","8,48 ","0,11","0,19","26,03 ","5850,00 ","975,00 ","6,67 "
"1,5",10,"570,26 ","9,79 ","0,16","0,21","30,00 ","5625,00 ","1125,00 ","6,67 "
"1,3",10,"623,48 ","9,14 ","0,2","0,21","24,31 ","5330,00 ","910,00 ","7,69 "
"1,5",10,"593,07 ","9,14 ","0,18","0,22","28,02 ","5850,00 ","1050,00 ","6,67 "
"1,4",14,"638,69 ","9,92 ","0,22","0,23","20,34 ","4200,00 ","760,00 ","10,00 "
"1,3",10,"684,31 ","11,10 ","0,19","0,19","29,50 ","5850,00 ","1105,00 ","7,69 "
"1,1",10,"539,84 ","1,93 ","0,2","0,2","4,47 ","3905,00 ","162,80 ","9,09 "
"1,5",12,"547,45 ","6,92 ","0,14","0,23","17,73 ","4500,00 ","662,50 ","8,00 "
"1,3",11,"517,03 ","3,92 ","0,17","0,24","9,55 ","4018,18 ","354,55 ","8,46 "
"1,3",10,"585,46 ","9,53 ","0,19","0,21","25,34 ","5005,00 ","949,00 ","7,69 "
"1,3",12,"608,27 ","9,40 ","0,25","0,2","20,86 ","4333,33 ","780,00 ","9,23 "
"1,3",12,"593,07 ","10,18 ","0,25","0,25","22,58 ","4225,00 ","845,00 ","9,23 "
"1,5",10,"562,65 ","9,79 ","0,2","0,23","30,00 ","5550,00 ","1125,00 ","6,67 "
"1,5",11,"564,17 ","9,79 ","0,24","0,24","27,29 ","5059,09 ","1022,73 ","7,33 "
"1,5",12,"547,45 ","10,57 ","0,21","0,23","27,01 ","4500,00 ","1012,50 ","8,00 "
"1,5",10,"547,45 ","8,09 ","0,2","0,26","24,82 ","5400,00 ","930,00 ","6,67 "
"1,4",14,"538,32 ","9,79 ","0,21","0,23","20,05 ","3540,00 ","750,00 ","10,00 "
"1,5",12,"562,65 ","9,14 ","0,2","0,2","23,37 ","4625,00 ","875,00 ","8,00 "
"1,5",13,"586,98 ","10,13 ","0,22","0,24","23,92 ","4453,85 ","895,38 ","8,67 "
"1,5",13,"562,65 ","9,79 ","0,2","0,25","23,11 ","4269,23 ","865,38 ","8,67 "
"1,5",13,"577,86 ","10,31 ","0,22","0,28","24,34 ","4384,62 ","911,54 ","8,67 "
"1,4",15,"562,65 ","9,14 ","0,22","0,27","17,49 ","3453,33 ","653,33 ","10,71 "
"1,5",13,"568,73 ","7,11 ","0,27","0,26","16,84 ","4315,38 ","628,85 ","8,67 "
"1,5",20,"506,39 ","8,22 ","0,23","0,23","12,67 ","2497,50 ","472,50 ","13,33 "
"1,5",10,"577,86 ","9,14 ","0,21","0,26","28,01 ","5700,00 ","1050,00 ","6,67 "
"1,5",8,"585,46 ","8,09 ","0,25","0,29","31,00 ","7218,75 ","1162,50 ","5,33 "
"1,5",11,"608,27 ","9,79 ","0,22","0,22","27,30 ","5454,55 ","1022,73 ","7,33 "
"1,3",15,"517,03 ","3,26 ","0,2","0,22","5,89 ","2946,67 ","216,67 ","11,54 "
"1,3",15,"517,03 ","3,66 ","0,21","0,23","6,58 ","2946,67 ","242,67 ","11,54 "
"1,3",10,"486,62 ","3,92 ","0,2","0,25","10,48 ","4160,00 ","390,00 ","7,69 "
"1,5",10,"547,45 ","5,22 ","0,22","0,28","16,07 ","5400,00 ","600,00 ","6,67 "
"1,5",10,"608,27 ","7,83 ","0,21","0,23","24,04 ","6000,00 ","900,00 ","6,67 "
"1,3",12,"577,86 ","10,18 ","0,2","0,24","22,58 ","4116,67 ","845,00 ","9,23 "
"1,3",8,"661,50 ","11,10 ","0,2","0,28","36,82 ","7068,75 ","1381,25 ","6,15 "
"1,4",8,"638,69 ","5,22 ","0,25","0,25","18,75 ","7350,00 ","700,00 ","5,71 "
"1,5",8,"684,31 ","11,42 ","0,2","0,26","43,71 ","8437,50 ","1640,63 ","5,33 "
"1,3",10,"653,89 ","9,79 ","0,19","0,23","26,05 ","5590,00 ","975,00 ","7,69 "
"1,3",10,"608,27 ","10,44 ","0,2","0,24","27,76 ","5200,00 ","1040,00 ","7,69 "
"1,3",8,"577,86 ","9,79 ","0,21","0,25","32,49 ","6175,00 ","1218,75 ","6,15 "
"1,3",13,"579,38 ","9,20 ","0,2","0,26","18,86 ","3810,00 ","705,00 ","10,00 "
"1,3",8,"593,07 ","9,01 ","0,2","0,25","29,91 ","6337,50 ","1121,25 ","6,15 "
"1,3",12,"570,26 ","8,88 ","0,2","0,24","19,70 ","4062,50 ","736,67 ","9,23 "
"1,3",15,"517,03 ","9,14 ","0,2","0,23","16,24 ","2946,67 ","606,67 ","11,54 "
"1,3",15,"547,45 ","9,14 ","0,2","0,24","16,25 ","3120,00 ","606,67 ","11,54 "
"1,3",10,"577,86 ","11,36 ","0,19","0,23","30,16 ","4940,00 ","1131,00 ","7,69 "
"1,3",8,"623,48 ","10,44 ","0,2","0,24","34,66 ","6662,50 ","1300,00 ","6,15 "
"1,2",6,"684,31 ","7,83 ","0,2","0,25","32,02 ","9000,00 ","1200,00 ","5,00 "
"1,3",5,"699,51 ","4,57 ","0,2","0,25","24,33 ","11960,00 ","910,00 ","3,85 "
"1,3",8,"669,10 ","9,14 ","0,2","0,25","30,36 ","7150,00 ","1137,50 ","6,15 "
"1,2",10,"577,86 ","8,48 ","0,19","0,24","20,85 ","4560,00 ","780,00 ","8,33 "
"1,3",10,"517,03 ","7,83 ","0,19","0,23","20,84 ","4420,00 ","780,00 ","7,69 "
"1,3",9,"623,48 ","7,83 ","0,19","0,25","23,16 ","5922,22 ","866,67 ","6,92 "
"1,3",15,"577,86 ","7,83 ","0,2","0,23","13,95 ","3293,33 ","520,00 ","11,54 "
"1,3",11,"577,86 ","9,14 ","0,19","0,24","22,11 ","4490,91 ","827,27 ","8,46 "
"1,3",9,"608,27 ","8,48 ","0,2","0,23","25,08 ","5777,78 ","938,89 ","6,92 "
"1,3",9,"638,69 ","7,18 ","0,19","0,21","21,25 ","6066,67 ","794,44 ","6,92 "
"1,3",8,"623,48 ","3,26 ","0,2","0,22","10,95 ","6662,50 ","406,25 ","6,15 "
"1,3",10,"600,67 ","3,66 ","0,18","0,24","9,82 ","5135,00 ","364,00 ","7,69 "
"1,7",10,"456,20 ","4,57 ","0,04","0,04","15,91 ","5100,00 ","595,00 ","5,88 "
"1,7",12,"319,34 ","5,22 ",0,"0,01","15,12 ","2975,00 ","566,67 ","7,06 "
"1,5",10,"266,12 ","3,26 ",0,"0,01","10,02 ","2625,00 ","375,00 ","6,67 "
"1,6",12,"258,52 ","4,57 ",0,"0,01","12,45 ","2266,67 ","466,67 ","7,50 "
"1,7",12,"228,10 ","4,44 ","0,02","0,06","12,84 ","2125,00 ","481,67 ","7,06 "
"1,6",11,"243,31 ","3,52 ","0,01","0,03","10,49 ","2327,27 ","392,73 ","6,88 "
"1,7",10,"228,10 ","3,26 ",0,"0,08","11,34 ","2550,00 ","425,00 ","5,88 "
"1,7",10,"228,10 ","3,52 ","0,01","0,09","12,24 ","2550,00 ","459,00 ","5,88 "
"1,7",7,"235,71 ","3,66 ",0,"0,12","18,10 ","3764,29 ","680,00 ","4,12 "
"1,7",10,"228,10 ","3,92 ",0,"0,12","13,59 ","2550,00 ","510,00 ","5,88 "
"1,7",10,"243,31 ","3,92 ",0,"0,12","13,60 ","2720,00 ","510,00 ","5,88 "
"1,7",12,"220,50 ","4,57 ",0,"0,14","13,21 ","2054,17 ","495,83 ","7,06 "
"1,7",10,"223,54 ","4,83 ","0,02","0,16","16,75 ","2499,00 ","629,00 ","5,88 "
"1,7",12,"288,93 ","5,87 ","0,01","0,16","16,99 ","2691,67 ","637,50 ","7,06 "
"1,7",10,"258,52 ","4,83 ",0,"0,17","16,76 ","2890,00 ","629,00 ","5,88 "
"1,7",8,"255,47 ","4,53 ","0,01","0,16","19,63 ","3570,00 ","737,38 ","4,71 "
"1,8",8,"266,12 ","3,92 ",0,"0,15","17,98 ","3937,50 ","675,00 ","4,44 "
"1,7",10,"253,95 ","3,92 ",0,"0,16","13,60 ","2839,00 ","510,00 ","5,88 "
"1,7",10,"304,14 ","5,22 ",0,"0,15","18,12 ","3400,00 ","680,00 ","5,88 "
"1,7",5,"304,14 ","4,57 ",0,"0,03","31,65 ","6800,00 ","1190,00 ","2,94 "
"1,7",12,"235,71 ","5,22 ",0,"0,04","15,10 ","2195,83 ","566,67 ","7,06 "
"1,7",10,"220,50 ","3,73 ",0,"0,04","12,96 ","2465,00 ","486,20 ","5,88 "
"1,7",8,"220,50 ","3,92 ","0,01","0,05","16,97 ","3081,25 ","637,50 ","4,71 "
"1,7",12,"237,23 ","4,57 ",0,"0,04","13,22 ","2210,00 ","495,83 ","7,06 "
"1,7",10,"235,71 ","3,62 ",0,"0,03","12,56 ","2635,00 ","470,90 ","5,88 "
"1,6",12,"319,34 ","5,61 ","0,06","0,07","15,30 ","2800,00 ","573,33 ","7,50 "
"1,7",10,"273,72 ","5,22 ","0,03","0,07","18,11 ","3060,00 ","680,00 ","5,88 "
"1,3",15,"501,82 ","11,75 ","0,16","0,21","20,83 ","2860,00 ","780,00 ","11,54 "
"1,6",13,"471,41 ","9,14 ","0,18","0,19","22,99 ","3815,38 ","861,54 ","8,13 "
"1,5",10,"486,62 ","9,79 ","0,15","0,12","29,98 ","4800,00 ","1125,00 ","6,67 "
"1,3",10,"471,41 ","6,53 ","0,18","0,22","17,37 ","4030,00 ","650,00 ","7,69 "
"1,5",6,"486,62 ","10,18 ","0,16","0,23","51,86 ","8000,00 ","1950,00 ","4,00 "
"1,6",5,"380,17 ","3,52 ","0,16","0,19","23,03 ","8000,00 ","864,00 ","3,13 "
"1,5",12,"258,52 ","5,61 ","0,15","0,05","14,33 ","2125,00 ","537,50 ","8,00 "
"1,6",7,"273,72 ","5,22 ",0,"0,1","24,33 ","4114,29 ","914,29 ","4,38 "
"1,7",8,"349,76 ","3,92 ",0,"0,12","17,01 ","4887,50 ","637,50 ","4,71 "
"1,6",7,"304,14 ","5,22 ",0,"0,11","24,34 ","4571,43 ","914,29 ","4,38 "
"1,6",9,"319,34 ","6,53 ",0,"0,06","23,67 ","3733,33 ","888,89 ","5,63 "
2,10,"273,72 ","2,61 ",0,"0,08","10,69 ","3600,00 ","400,00 ","5,00 "
"1,8",10,"258,52 ","4,96 ",0,"0,1","18,22 ","3060,00 ","684,00 ","5,56 "
"1,7",8,"288,93 ","4,57 ",0,"0,09","19,81 ","4037,50 ","743,75 ","4,71 "
"1,8",10,"317,82 ","4,83 ","0,01","0,1","17,76 ","3762,00 ","666,00 ","5,56 "
2,10,"319,34 ","5,22 ",0,"0,11","21,31 ","4200,00 ","800,00 ","5,00 "
"1,8",10,"273,72 ","3,52 ",0,"0,12","12,97 ","3240,00 ","486,00 ","5,56 "
"1,8",10,"304,14 ","4,57 ",0,"0,11","16,80 ","3600,00 ","630,00 ","5,56 "
"1,8",7,"304,14 ","3,92 ",0,"0,1","20,55 ","5142,86 ","771,43 ","3,89 "
"1,8",10,"410,58 ","3,92 ",0,"0,03","14,44 ","4860,00 ","540,00 ","5,56 "
2,8,"326,95 ","3,75 ","0,01","0,05","19,12 ","5375,00 ","717,50 ","4,00 "
2,8,"281,33 ","3,26 ",0,"0,04","16,66 ","4625,00 ","625,00 ","4,00 "
2,11,"331,51 ","3,52 ",0,"0,03","13,11 ","3963,64 ","490,91 ","5,50 "
"1,9",11,"223,54 ","3,52 ",0,"0,04","12,43 ","2539,09 ","466,36 ","5,79 "
2,13,"228,10 ","3,34 ",0,"0,03","10,51 ","2307,69 ","393,85 ","6,50 "
2,8,"221,41 ","2,61 ",0,"0,03","13,33 ","3640,00 ","500,00 ","4,00 "
"1,9",12,"288,93 ","3,92 ",0,"0,02","12,68 ","3008,33 ","475,00 ","6,32 "
"1,8",12,"334,55 ","6,53 ","0,09","0,12","19,99 ","3300,00 ","750,00 ","6,67 "
"1,5",13,"319,34 ","6,53 ","0,08","0,12","15,39 ","2423,08 ","576,92 ","8,67 "
"1,8",10,"273,72 ","4,57 ",0,"0,03","16,79 ","3240,00 ","630,00 ","5,56 "
"1,7",8,"304,14 ","3,92 ",0,"0,08","17,00 ","4250,00 ","637,50 ","4,71 "
"1,8",12,"212,90 ","3,66 ",0,"0,03","11,20 ","2100,00 ","420,00 ","6,67 "
"1,9",11,"243,31 ","4,96 ","0,02","0,04","17,48 ","2763,64 ","656,36 ","5,79 "
"1,8",10,"228,10 ","4,18 ",0,"0,03","15,34 ","2700,00 ","576,00 ","5,56 "
"1,9",10,"228,10 ","3,92 ",0,"0,02","15,18 ","2850,00 ","570,00 ","5,26 "
2,8,"243,31 ","3,35 ","0,05","0,09","17,11 ","4000,00 ","642,50 ","4,00 "
"1,9",10,"270,68 ","4,83 ","0,01","0,05","18,72 ","3382,00 ","703,00 ","5,26 "
"1,9",10,"258,52 ","3,92 ",0,"0,04","15,19 ","3230,00 ","570,00 ","5,26 "
"1,7",4,"304,14 ","4,70 ","0,01","0,02","40,67 ","8500,00 ","1530,00 ","2,35 "
"1,8",5,"334,55 ","5,22 ",0,"0,04","38,29 ","7920,00 ","1440,00 ","2,78 "
"1,9",8,"266,12 ","3,92 ",0,"0,04","18,97 ","4156,25 ","712,50 ","4,21 "
"1,5",11,"299,57 ","5,84 ","0,02","0,05","16,25 ","2686,36 ","609,55 ","7,33 "
"1,6",9,"319,34 ","4,57 ",0,"0,04","16,59 ","3733,33 ","622,22 ","5,63 "
2,8,"304,14 ","3,92 ",0,"0,04","19,98 ","5000,00 ","750,00 ","4,00 "
2,9,"257,00 ","3,71 ",0,"0,05","16,81 ","3755,56 ","631,11 ","4,50 "
"1,8",8,"260,04 ","3,92 ",0,"0,06","17,98 ","3847,50 ","675,00 ","4,44 "
"1,9",5,"319,34 ","3,60 ",0,"0,05","27,91 ","7980,00 ","1048,80 ","2,63 "
"1,8",10,"228,10 ","4,18 ",0,"0,01","15,34 ","2700,00 ","576,00 ","5,56 "
"1,9",8,"258,52 ","3,66 ",0,"0,05","17,71 ","4037,50 ","665,00 ","4,21 "
"1,5",11,"288,93 ","5,22 ","0,01","0,05","14,55 ","2590,91 ","545,45 ","7,33 "
"1,5",12,"288,93 ","5,87 ",0,"0,05","15,00 ","2375,00 ","562,50 ","8,00 "
"1,6",10,"349,76 ","7,65 ","0,05","0,12","24,97 ","3680,00 ","937,60 ","6,25 "
"1,4",11,"419,71 ","9,40 ","0,13","0,17","24,43 ","3512,73 ","916,36 ","7,86 "
"1,7",12,"258,52 ","3,66 ",0,"0,05","10,59 ","2408,33 ","396,67 ","7,06 "
"1,7",10,"273,72 ","3,92 ",0,"0,06","13,61 ","3060,00 ","510,00 ","5,88 "
"1,5",8,"410,58 ","5,48 ","0,1","0,18","21,00 ","5062,50 ","787,50 ","5,33 "
"1,6",8,"547,45 ","7,18 ","0,1","0,18","29,33 ","7200,00 ","1100,00 ","5,00 "
"1,4",9,"562,65 ","3,66 ","0,2","0,22","11,71 ","5755,56 ","435,56 ","6,43 "
"1,5",10,"562,65 ","5,22 ","0,16","0,2","16,07 ","5550,00 ","600,00 ","6,67 "
"1,5",10,"486,62 ","3,92 ","0,2","0,25","12,07 ","4800,00 ","450,00 ","6,67 "
"1,5",10,"532,24 ","6,53 ","0,17","0,21","20,04 ","5250,00 ","750,00 ","6,67 "
"1,5",10,"486,62 ","6,53 ","0,16","0,23","20,03 ","4800,00 ","750,00 ","6,67 "
"1,5",8,"532,24 ","6,53 ","0,15","0,23","25,02 ","6562,50 ","937,50 ","5,33 "
"1,4",8,"547,45 ","8,48 ","0,07","0,15","30,33 ","6300,00 ","1137,50 ","5,71 "
"1,5",8,"486,62 ","8,48 ","0,15","0,2","32,47 ","6000,00 ","1218,75 ","5,33 "
"1,5",8,"501,82 ","9,01 ","0,17","0,23","34,46 ","6187,50 ","1293,75 ","5,33 "
"1,4",10,"577,86 ","9,14 ","0,21","0,27","26,16 ","5320,00 ","980,00 ","7,14 "
"1,4",10,"425,79 ","4,70 ","0,21","0,25","13,49 ","3920,00 ","504,00 ","7,14 "
"1,6",12,"453,16 ","5,48 ","0,23","0,27","14,98 ","3973,33 ","560,00 ","7,50 "
"1,5",10,"441,00 ","4,57 ","0,21","0,25","14,05 ","4350,00 ","525,00 ","6,67 "
"1,6",8,"441,00 ","3,52 ","0,16","0,24","14,45 ","5800,00 ","540,00 ","5,00 "
"1,6",9,"532,24 ","4,83 ","0,22","0,27","17,60 ","6222,22 ","657,78 ","5,63 "
"1,7",8,"349,76 ","2,09 ",0,"0,05","9,12 ","4887,50 ","340,00 ","4,71 "
"1,6",9,"501,82 ","2,35 ","0,22","0,24","8,63 ","5866,67 ","320,00 ","5,63 "
"1,5",9,"486,62 ","3,92 ","0,21","0,25","13,40 ","5333,33 ","500,00 ","6,00 "
"1,5",10,"517,03 ","4,57 ","0,22","0,27","14,07 ","5100,00 ","525,00 ","6,67 "
"1,5",6,"593,07 ","4,57 ","0,22","0,27","23,38 ","9750,00 ","875,00 ","4,00 "
"1,5",8,"608,27 ","6,53 ","0,21","0,29","25,04 ","7500,00 ","937,50 ","5,33 "
"1,5",7,"577,86 ","6,53 ","0,22","0,29","28,58 ","8142,86 ","1071,43 ","4,67 "
"1,5",8,"638,69 ","7,83 ","0,22","0,3","30,02 ","7875,00 ","1125,00 ","5,33 "
"1,5",11,"653,89 ","10,44 ","0,21","0,28","29,12 ","5863,64 ","1090,91 ","7,33 "
"1,3",10,"577,86 ","3,26 ","0,28","0,24","8,78 ","4940,00 ","325,00 ","7,69 "
"1,4",10,"517,03 ","3,92 ","0,28","0,33","11,29 ","4760,00 ","420,00 ","7,14 "
"1,3",20,"486,62 ","3,79 ","0,3","0,31","5,14 ","2080,00 ","188,50 ","15,38 "
"1,3",20,"501,82 ","4,18 ","0,29","0,31","5,66 ","2145,00 ","208,00 ","15,38 "
"1,3",17,"517,03 ","5,22 ","0,29","0,34","8,26 ","2600,00 ","305,88 ","13,08 "
"1,2",15,"638,69 ","7,83 ","0,28","0,35","12,91 ","3360,00 ","480,00 ","12,50 "
"1,3",10,"760,34 ","7,83 ","0,25","0,32","20,90 ","6500,00 ","780,00 ","7,69 "
"1,3",25,"714,72 ","12,40 ","0,17","0,25","13,30 ","2444,00 ","494,00 ","19,23 "
"1,3",15,"737,53 ","10,44 ","0,2","0,28","18,60 ","4203,33 ","693,33 ","11,54 "
"1,3",10,"745,13 ","11,10 ","0,17","0,25","29,52 ","6370,00 ","1105,00 ","7,69 "
"1,3",15,"760,34 ","12,40 ","0,24","0,31","22,05 ","4333,33 ","823,33 ","11,54 "
"1,2",15,"752,74 ","11,75 ","0,29","0,33","19,31 ","3960,00 ","720,00 ","12,50 "
"1,3",15,"745,13 ","11,75 ","0,26","0,29","20,90 ","4246,67 ","780,00 ","11,54 "
"1,2",12,"821,17 ","9,14 ","0,21","0,35","18,80 ","5400,00 ","700,00 ","10,00 "
"1,2",15,"775,55 ","11,10 ","0,23","0,31","18,25 ","4080,00 ","680,00 ","12,50 "
"1,2",10,"790,75 ","10,44 ","0,25","0,34","25,69 ","6240,00 ","960,00 ","8,33 "
"1,5",12,"775,55 ","11,75 ","0,24","0,32","30,06 ","6375,00 ","1125,00 ","8,00 "
"1,3",25,"684,31 ","3,26 ","0,28","0,33","3,64 ","2340,00 ","130,00 ","19,23 "
"1,3",25,"638,69 ","5,22 ","0,26","0,32","5,70 ","2184,00 ","208,00 ","19,23 "
"1,3",20,"669,10 ","7,83 ","0,27","0,35","10,53 ","2860,00 ","390,00 ","15,38 "
"1,3",15,"745,13 ","9,40 ","0,28","0,33","16,76 ","4246,67 ","624,00 ","11,54 "
"1,3",15,"760,34 ","9,14 ","0,18","0,25","16,30 ","4333,33 ","606,67 ","11,54 "
"1,4",18,"821,17 ","10,44 ","0,2","0,26","16,73 ","4200,00 ","622,22 ","12,86 "
"1,3",11,"805,96 ","10,70 ","0,26","0,3","25,93 ","6263,64 ","969,09 ","8,46 "
"1,3",15,"805,96 ","12,40 ","0,25","0,32","22,06 ","4593,33 ","823,33 ","11,54 "
"1,5",15,"821,17 ","13,05 ","0,22","0,3","26,76 ","5400,00 ","1000,00 ","10,00 "
"0,9",12,"608,27 ","5,22 ","0,23","0,32","8,13 ","3000,00 ","300,00 ","13,33 "
"1,5",15,"729,93 ","9,79 ","0,24","0,32","20,10 ","4800,00 ","750,00 ","10,00 "
"1,8",15,"714,72 ","9,14 ","0,21","0,28","22,48 ","5640,00 ","840,00 ","8,33 "
"1,5",12,"760,34 ","14,36 ","0,27","0,35","36,69 ","6250,00 ","1375,00 ","8,00 "
"1,4",15,"775,55 ","13,05 ","0,26","0,34","24,97 ","4760,00 ","933,33 ","10,71 "
"1,5",14,"729,93 ","12,01 ","0,25","0,32","26,35 ","5142,86 ","985,71 ","9,33 "
"1,5",14,"749,70 ","12,01 ","0,25","0,32","26,36 ","5282,14 ","985,71 ","9,33 "
"1,5",12,"760,34 ","14,36 ","0,23","0,32","36,69 ","6250,00 ","1375,00 ","8,00 "
"1,5",12,"775,55 ","12,01 ","0,24","0,29","30,72 ","6375,00 ","1150,00 ","8,00 "
"1,5",12,"699,51 ","7,18 ","0,24","0,32","18,43 ","5750,00 ","687,50 ","8,00 "
"1,5",15,"669,10 ","9,14 ","0,26","0,33","18,76 ","4400,00 ","700,00 ","10,00 "
