Raw data,,,,,,,,,
"1,7",8,"349,76 ","7,83 ","0,12","0,17","33,92 ","4887,50 ","1275,00 ","4,71 "
"1,6",7,"349,76 ","8,09 ","0,03","0,08","37,69 ","5257,14 ","1417,14 ","4,38 "
"1,7",8,"197,69 ","3,00 ",0,"0,03","13,02 ","2762,50 ","488,75 ","4,71 "
"1,7",6,"197,69 ","3,00 ",0,"0,04","17,34 ","3683,33 ","651,67 ","3,53 "
"1,6",8,"197,69 ","2,61 ","0,02","0,03","10,67 ","2600,00 ","400,00 ","5,00 "
"1,7",8,"197,69 ","3,26 ",0,"0,04","14,15 ","2762,50 ","531,25 ","4,71 "
"1,8",15,"197,69 ","5,22 ",0,0,"12,79 ","1560,00 ","480,00 ","8,33 "
"1,7",10,"197,69 ","3,92 ",0,"0,03","13,58 ","2210,00 ","510,00 ","5,88 "
"1,6",10,"197,69 ","4,31 ",0,"0,03","14,06 ","2080,00 ","528,00 ","6,25 "
"1,7",10,"197,69 ","3,92 ",0,"0,04","13,58 ","2210,00 ","510,00 ","5,88 "
"1,7",14,"197,69 ","5,22 ",0,"0,03","12,94 ","1578,57 ","485,71 ","8,24 "
"1,7",8,"205,29 ","3,39 ",0,"0,04","14,71 ","2868,75 ","552,50 ","4,71 "
"1,7",10,"179,44 ","3,79 ",0,"0,04","13,13 ","2006,00 ","493,00 ","5,88 "
"1,7",10,"200,73 ","3,00 ",0,"0,04","10,43 ","2244,00 ","391,00 ","5,88 "
"1,8",11,"194,65 ","3,79 ",0,"0,04","12,64 ","2094,55 ","474,55 ","6,11 "
"1,8",15,"197,69 ","5,22 ",0,"0,04","12,79 ","1560,00 ","480,00 ","8,33 "
"1,7",12,"167,27 ","3,52 ",0,"0,04","10,19 ","1558,33 ","382,50 ","7,06 "
"1,7",13,"206,81 ","4,44 ",0,"0,04","11,85 ","1778,46 ","444,62 ","7,65 "
"1,7",10,"205,29 ","4,57 ",0,"0,04","15,84 ","2295,00 ","595,00 ","5,88 "
"1,8",12,"193,13 ","3,66 ",0,"0,04","11,20 ","1905,00 ","420,00 ","6,67 "
"1,8",8,"212,90 ","3,66 ",0,"0,04","16,77 ","3150,00 ","630,00 ","4,44 "
"1,8",8,"228,10 ","3,79 ",0,"0,03","17,37 ","3375,00 ","652,50 ","4,44 "
"1,8",9,"228,10 ","3,52 ",0,"0,04","14,39 ","3000,00 ","540,00 ","5,00 "
"1,8",10,"212,90 ","3,92 ",0,"0,03","14,38 ","2520,00 ","540,00 ","5,56 "
"1,8",10,"212,90 ","3,26 ",0,"0,03","12,00 ","2520,00 ","450,00 ","5,56 "
"1,7",13,"212,90 ","3,92 ",0,"0,03","10,47 ","1830,77 ","392,31 ","7,65 "
"1,8",10,"205,29 ","4,18 ",0,"0,04","15,34 ","2430,00 ","576,00 ","5,56 "
"1,8",10,"159,67 ","3,92 ",0,"0,04","14,37 ","1890,00 ","540,00 ","5,56 "
"1,8",10,"174,88 ","3,26 ",0,"0,05","11,99 ","2070,00 ","450,00 ","5,56 "
"1,7",12,"168,80 ","2,74 ","0,07","0,03","7,94 ","1572,50 ","297,50 ","7,06 "
"1,8",12,"167,27 ","3,92 ",0,"0,03","11,98 ","1650,00 ","450,00 ","6,67 "
"1,8",15,"217,46 ","4,31 ","0,07","0,03","10,57 ","1716,00 ","396,00 ","8,33 "
"1,8",10,"212,90 ","3,66 ",0,"0,03","13,43 ","2520,00 ","504,00 ","5,56 "
"1,7",15,"190,09 ","4,71 ","0,06","0,03","10,91 ","1416,67 ","409,13 ","8,82 "
"1,8",10,"197,69 ","3,92 ",0,"0,03","14,38 ","2340,00 ","540,00 ","5,56 "
"1,8",15,"174,88 ","3,79 ",0,"0,03","9,28 ","1380,00 ","348,00 ","8,33 "
"1,8",15,"167,27 ","3,94 ","0,07","0,03","9,66 ","1320,00 ","362,40 ","8,33 "
"1,8",15,"167,27 ","4,57 ",0,"0,03","11,19 ","1320,00 ","420,00 ","8,33 "
"1,7",14,"167,27 ","3,93 ","0,07","0,05","9,74 ","1335,71 ","365,50 ","8,24 "
"1,8",12,"182,48 ","3,92 ",0,"0,03","11,99 ","1800,00 ","450,00 ","6,67 "
"1,8",13,"180,96 ","3,89 ","0,07","0,03","11,00 ","1647,69 ","412,62 ","7,22 "
"1,8",10,"205,29 ","4,18 ",0,"0,03","15,34 ","2430,00 ","576,00 ","5,56 "
"1,8",7,"231,60 ","3,02 ","0,07","0,03","15,82 ","3916,29 ","594,00 ","3,89 "
"1,7",13,"211,37 ","3,45 ",0,"0,03","9,22 ","1817,69 ","345,23 ","7,65 "
"1,8",8,"217,46 ","4,18 ","0,07","0,03","19,16 ","3217,50 ","720,00 ","4,44 "
"1,9",8,"243,31 ","3,92 ",0,"0,03","18,97 ","3800,00 ","712,50 ","4,21 "
"1,8",10,"182,48 ","4,57 ",0,"0,03","16,76 ","2160,00 ","630,00 ","5,56 "
"1,8",10,"228,10 ","4,57 ",0,"0,03","16,78 ","2700,00 ","630,00 ","5,56 "
"1,8",14,"180,96 ","4,97 ",0,"0,03","13,04 ","1530,00 ","489,86 ","7,78 "
"1,8",15,"167,27 ","3,39 ","0,01","0,04","8,32 ","1320,00 ","312,00 ","8,33 "
"1,8",15,"136,86 ","3,92 ",0,"0,03","9,59 ","1080,00 ","360,00 ","8,33 "
"1,8",13,"197,69 ","4,05 ",0,"0,03","11,44 ","1800,00 ","429,23 ","7,22 "
"1,8",10,"197,69 ","3,92 ",0,"0,03","14,38 ","2340,00 ","540,00 ","5,56 "
"1,8",13,"182,48 ","3,00 ",0,"0,06","8,50 ","1661,54 ","318,46 ","7,22 "
"1,8",15,"167,27 ","3,66 ",0,"0,04","8,96 ","1320,00 ","336,00 ","8,33 "
"1,8",12,"197,69 ","2,87 ",0,"0,03","8,81 ","1950,00 ","330,00 ","6,67 "
"1,8",10,"212,90 ","3,66 ",0,"0,03","13,43 ","2520,00 ","504,00 ","5,56 "
"1,8",10,"243,31 ","3,00 ",0,"0,03","11,05 ","2880,00 ","414,00 ","5,56 "
"1,8",10,"228,10 ","3,79 ",0,"0,03","13,91 ","2700,00 ","522,00 ","5,56 "
"1,8",10,"220,50 ","3,00 ",0,"0,03","11,04 ","2610,00 ","414,00 ","5,56 "
"1,8",12,"220,50 ","3,92 ",0,"0,03","12,00 ","2175,00 ","450,00 ","6,67 "
"1,8",10,"319,34 ","3,00 ","0,05","0,1","11,07 ","3780,00 ","414,00 ","5,56 "
"1,8",12,"334,55 ","5,48 ","0,01","0,07","16,81 ","3300,00 ","630,00 ","6,67 "
"1,8",10,"395,38 ","3,00 ","0,15","0,19","11,09 ","4680,00 ","414,00 ","5,56 "
"1,8",8,"471,41 ","4,18 ","0,13","0,21","19,23 ","6975,00 ","720,00 ","4,44 "
"1,8",8,"319,34 ","3,92 ","0,05","0,09","17,99 ","4725,00 ","675,00 ","4,44 "
"1,5",13,"471,41 ","7,38 ","0,17","0,21","17,42 ","3576,92 ","651,92 ","8,67 "
"1,5",10,"471,41 ","10,18 ","0,18","0,22","31,17 ","4650,00 ","1170,00 ","6,67 "
"1,4",12,"471,41 ","8,22 ","0,18","0,21","19,63 ","3616,67 ","735,00 ","8,57 "
"1,5",10,"471,41 ","8,48 ","0,18","0,22","26,00 ","4650,00 ","975,00 ","6,67 "
"1,4",15,"456,20 ","7,57 ","0,18","0,23","14,49 ","2800,00 ","541,33 ","10,71 "
"1,4",10,"486,62 ","8,48 ","0,18","0,22","24,28 ","4480,00 ","910,00 ","7,14 "
"1,4",10,"486,62 ","9,14 ","0,15","0,21","26,13 ","4480,00 ","980,00 ","7,14 "
"1,4",8,"486,62 ","8,88 ","0,19","0,24","31,70 ","5600,00 ","1190,00 ","5,71 "
"1,4",10,"471,41 ","9,66 ","0,16","0,2","27,61 ","4340,00 ","1036,00 ","7,14 "
"1,4",13,"479,01 ","8,48 ","0,16","0,2","18,70 ","3392,31 ","700,00 ","9,29 "
"1,4",5,"486,62 ","11,10 ","0,15","0,22","63,27 ","8960,00 ","2380,00 ","3,57 "
"1,4",8,"486,62 ","9,79 ","0,15","0,21","34,95 ","5600,00 ","1312,50 ","5,71 "
"1,5","6,5","477,04 ","10,83 ","0,12","0,17","50,94 ","7239,23 ","1915,38 ","4,33 "
"1,6",15,"413,63 ","5,87 ","0,14","0,18","12,85 ","2901,33 ","480,00 ","9,38 "
"1,6",8,"501,82 ","7,18 ","0,17","0,23","29,32 ","6600,00 ","1100,00 ","5,00 "
"1,5",5,"501,82 ","10,18 ","0,08","0,14","62,21 ","9900,00 ","2340,00 ","3,33 "
"1,4",15,"577,86 ","11,75 ","0,16","0,23","22,44 ","3546,67 ","840,00 ","10,71 "
"1,4",7,"532,24 ","11,75 ","0,18","0,24","47,90 ","7000,00 ","1800,00 ","5,00 "
"1,4",13,"501,82 ","11,10 ","0,18","0,23","24,42 ","3553,85 ","915,38 ","9,29 "
"1,5",10,"494,22 ","10,38 ","0,17","0,23","31,77 ","4875,00 ","1192,50 ","6,67 "
"1,4",10,"547,45 ","11,75 ","0,2","0,25","33,58 ","5040,00 ","1260,00 ","7,14 "
"1,5",7,"562,65 ","10,44 ","0,2","0,25","45,63 ","7928,57 ","1714,29 ","4,67 "
"1,5",25,"517,03 ","5,22 ","0,18","0,18","6,51 ","2040,00 ","240,00 ","16,67 "
"1,5",35,"501,82 ","8,48 ","0,22","0,22","7,53 ","1414,29 ","278,57 ","23,33 "
"1,5",20,"517,03 ","9,14 ","0,18","0,21","14,07 ","2550,00 ","525,00 ","13,33 "
"1,3",5,"760,34 ","16,97 ","0,22","0,3","89,87 ","13000,00 ","3380,00 ","3,85 "
"1,3",10,"699,51 ","16,71 ","0,2","0,27","44,34 ","5980,00 ","1664,00 ","7,69 "
"1,5",8,"714,72 ","16,97 ","0,21","0,25","64,86 ","8812,50 ","2437,50 ","5,33 "
"1,4",10,"684,31 ","15,01 ","0,23","0,28","42,90 ","6300,00 ","1610,00 ","7,14 "
"1,4",20,"638,69 ","9,79 ","0,22","0,28","14,10 ","2940,00 ","525,00 ","14,29 "
"1,4",20,"661,50 ","9,14 ","0,24","0,32","13,18 ","3045,00 ","490,00 ","14,29 "
"1,3",15,"669,10 ","10,44 ","0,24","0,35","18,58 ","3813,33 ","693,33 ","11,54 "
"1,4",15,"760,34 ","11,10 ","0,24","0,33","21,26 ","4666,67 ","793,33 ","10,71 "
"1,4",15,"760,34 ","9,79 ","0,23","0,31","18,78 ","4666,67 ","700,00 ","10,71 "
"1,4",15,"790,75 ","11,75 ","0,23","0,34","22,50 ","4853,33 ","840,00 ","10,71 "
"1,3",15,"760,34 ","11,75 ","0,23","0,31","20,90 ","4333,33 ","780,00 ","11,54 "
"1,4",15,"745,13 ","9,14 ","0,23","0,34","17,54 ","4573,33 ","653,33 ","10,71 "
"1,3",12,"813,56 ","9,46 ","0,24","0,32","21,06 ","5795,83 ","785,42 ","9,23 "
"1,3",12,"866,79 ","7,38 ","0,24","0,32","16,48 ","6175,00 ","612,08 ","9,23 "
"1,4",15,"851,58 ","10,44 ","0,23","0,32","20,04 ","5226,67 ","746,67 ","10,71 "
"1,3",15,"129,26 ","11,10 ","0,23","0,31","19,58 ","736,67 ","736,67 ","11,54 "
"1,4",25,"129,26 ","11,10 ","0,22","0,28","12,66 ","476,00 ","476,00 ","17,86 "
"1,3",15,"167,27 ","14,36 ","0,19","0,26","25,34 ","953,33 ","953,33 ","11,54 "
"1,3",8,"821,17 ","15,66 ","0,22","0,31","51,96 ","8775,00 ","1950,00 ","6,15 "
"1,3",7,"836,37 ","16,97 ","0,22","0,3","64,28 ","10214,29 ","2414,29 ","5,38 "
"1,4",20,"577,86 ","6,53 ","0,22","0,32","9,45 ","2660,00 ","350,00 ","14,29 "
"1,3",15,"608,27 ","11,75 ","0,15","0,24","20,86 ","3466,67 ","780,00 ","11,54 "
"1,4",12,"638,69 ","13,05 ","0,2","0,28","31,13 ","4900,00 ","1166,67 ","8,57 "
"1,4",13,"684,31 ","13,05 ","0,19","0,27","28,76 ","4846,15 ","1076,92 ","9,29 "
"1,3",13,"623,48 ","11,75 ","0,2","0,26","24,05 ","4100,00 ","900,00 ","10,00 "
"1,4",12,"653,89 ","11,75 ","0,2","0,25","28,04 ","5016,67 ","1050,00 ","8,57 "
"1,4",12,"836,37 ","14,36 ","0,19","0,26","34,28 ","6416,67 ","1283,33 ","8,57 "
"1,5",14,"836,37 ","14,36 ","0,19","0,26","31,50 ","5892,86 ","1178,57 ","9,33 "
"1,6",12,"684,31 ","14,36 ","0,18","0,24","39,10 ","6000,00 ","1466,67 ","7,50 "
"1,5",15,"653,89 ","14,36 ","0,2","0,26","29,36 ","4300,00 ","1100,00 ","10,00 "
"1,4",15,"676,70 ","16,97 ","0,19","0,25","32,37 ","4153,33 ","1213,33 ","10,71 "
"1,4",11,"684,31 ","15,66 ","0,2","0,26","40,70 ","5727,27 ","1527,27 ","7,86 "
"1,5",30,"547,45 ","5,22 ","0,25","0,29","5,46 ","1800,00 ","200,00 ","20,00 "
"1,5",25,"517,03 ","5,87 ","0,25","0,27","7,31 ","2040,00 ","270,00 ","16,67 "
"1,6",20,"456,20 ","5,22 ","0,26","0,31","8,62 ","2400,00 ","320,00 ","12,50 "
"1,5",20,"544,40 ","7,44 ","0,25","0,32","11,49 ","2685,00 ","427,50 ","13,33 "
"1,6",10,"684,31 ","15,66 ","0,24","0,3","51,12 ","7200,00 ","1920,00 ","6,25 "
"1,6",10,"684,31 ","15,01 ","0,22","0,3","49,00 ","7200,00 ","1840,00 ","6,25 "
"1,7",10,"714,72 ","14,62 ","0,27","0,32","50,71 ","7990,00 ","1904,00 ","5,88 "
"1,6",8,"714,72 ","15,66 ","0,24","0,3","63,86 ","9400,00 ","2400,00 ","5,00 "
"1,5",20,"501,82 ","7,18 ","0,23","0,27","11,08 ","2475,00 ","412,50 ","13,33 "
"1,5",10,"653,89 ","11,10 ","0,25","0,31","34,00 ","6450,00 ","1275,00 ","6,67 "
"1,6",10,"684,31 ","14,36 ","0,24","0,31","46,88 ","7200,00 ","1760,00 ","6,25 "
"1,5",8,"653,89 ","13,71 ","0,24","0,29","52,41 ","8062,50 ","1968,75 ","5,33 "
"1,6",15,"699,51 ","15,40 ","0,24","0,31","33,58 ","4906,67 ","1258,67 ","9,38 "
"1,5",8,"684,31 ","15,66 ","0,29","0,38","59,88 ","8437,50 ","2250,00 ","5,33 "
"1,5",15,"517,03 ","3,92 ","0,29","0,28","8,10 ","3400,00 ","300,00 ","10,00 "
"1,7",18,"441,00 ","4,96 ","0,25","0,3","9,64 ","2738,89 ","358,89 ","10,59 "
"1,6",15,"471,41 ","6,24 ","0,24","0,32","13,66 ","3306,67 ","509,87 ","9,38 "
"1,6",12,"603,71 ","13,05 ","0,25","0,32","35,54 ","5293,33 ","1333,33 ","7,50 "
"1,5",10,"669,10 ","13,05 ","0,24","0,32","39,98 ","6600,00 ","1500,00 ","6,67 "
"1,8",15,"608,27 ","13,05 ","0,24","0,31","32,00 ","4800,00 ","1200,00 ","8,33 "
"1,8",15,"608,27 ","11,75 ","0,25","0,33","28,82 ","4800,00 ","1080,00 ","8,33 "
"1,6",15,"694,95 ","14,10 ","0,25","0,31","30,75 ","4874,67 ","1152,00 ","9,38 "
"1,6",18,"638,69 ","12,79 ","0,25","0,28","23,29 ","3733,33 ","871,11 ","11,25 "
"1,6",20,"638,69 ","11,75 ","0,25","0,31","19,28 ","3360,00 ","720,00 ","12,50 "
"1,6",15,"684,31 ","13,05 ","0,26","0,32","28,49 ","4800,00 ","1066,67 ","9,38 "
"1,6",13,"710,16 ","12,66 ","0,27","0,32","31,87 ","5747,69 ","1193,85 ","8,13 "
"1,7",10,"699,51 ","13,71 ","0,26","0,23","47,55 ","7820,00 ","1785,00 ","5,88 "
"1,8",12,"722,32 ","15,66 ","0,27","0,33","47,95 ","7125,00 ","1800,00 ","6,67 "
"1,6",12,"684,31 ","12,86 ","0,25","0,31","35,03 ","6000,00 ","1313,33 ","7,50 "
"1,6",14,"729,93 ","14,62 ","0,25","0,31","34,16 ","5485,71 ","1280,00 ","8,75 "
"1,5",12,"654,05 ","6,92 ","0,25","0,31","17,76 ","5376,25 ","662,50 ","8,00 "
"1,5",13,"593,07 ","5,22 ","0,25","0,31","12,41 ","4500,00 ","461,54 ","8,67 "
"1,6",12,"512,47 ","5,22 ","0,2","0,24","14,29 ","4493,33 ","533,33 ","7,50 "
"1,7",13,"501,82 ","4,57 ","0,24","0,28","12,28 ","4315,38 ","457,69 ","7,65 "
"1,6",18,"471,41 ","5,22 ","0,25","0,29","9,56 ","2755,56 ","355,56 ","11,25 "
"1,7",18,"486,62 ","6,53 ","0,24","0,29","12,66 ","3022,22 ","472,22 ","10,59 "
"1,5",12,"532,24 ","5,48 ","0,24","0,31","14,07 ","4375,00 ","525,00 ","8,00 "
"1,5",14,"507,91 ","9,14 ","0,25","0,31","20,04 ","3578,57 ","750,00 ","9,33 "
"1,7",10,"570,26 ","9,40 ","0,24","0,27","32,63 ","6375,00 ","1224,00 ","5,88 "
"1,7",15,"547,45 ","9,53 ","0,25","0,31","22,10 ","4080,00 ","827,33 ","8,82 "
"1,6",12,"471,41 ","7,70 ","0,22","0,26","21,00 ","4133,33 ","786,67 ","7,50 "
"1,6",8,"532,24 ","8,48 ","0,24","0,29","34,63 ","7000,00 ","1300,00 ","5,00 "
"1,6",15,"684,31 ","10,18 ","0,23","0,28","22,26 ","4800,00 ","832,00 ","9,38 "
"1,6",13,"623,48 ","11,75 ","0,23","0,29","29,56 ","5046,15 ","1107,69 ","8,13 "
"1,5",12,"486,62 ","4,70 ","0,21","0,25","12,07 ","4000,00 ","450,00 ","8,00 "
"1,5",15,"501,82 ","4,57 ","0,27","0,3","9,42 ","3300,00 ","350,00 ","10,00 "
"1,5",15,"501,82 ","5,22 ","0,2","0,25","10,75 ","3300,00 ","400,00 ","10,00 "
"1,6",10,"653,89 ","14,36 ","0,25","0,33","46,87 ","6880,00 ","1760,00 ","6,25 "
"1,6",10,"684,31 ","15,66 ","0,24","0,31","51,12 ","7200,00 ","1920,00 ","6,25 "
"1,5",10,"471,41 ","3,66 ","0,25","0,31","11,27 ","4650,00 ","420,00 ","6,67 "
"1,5",11,"441,00 ","4,57 ","0,24","0,29","12,78 ","3954,55 ","477,27 ","7,33 "
"1,4",8,"653,89 ","13,05 ","0,24","0,32","46,60 ","7525,00 ","1750,00 ","5,71 "
"1,4",10,"608,27 ","15,66 ","0,25","0,31","44,74 ","5600,00 ","1680,00 ","7,14 "
"1,5",10,"593,07 ","14,10 ","0,23","0,3","43,14 ","5850,00 ","1620,00 ","6,67 "
"1,4",12,"517,03 ","7,31 ","0,23","0,3","17,47 ","3966,67 ","653,33 ","8,57 "
"1,5",12,"638,69 ","11,36 ","0,26","0,32","29,03 ","5250,00 ","1087,50 ","8,00 "
"1,5",12,"541,36 ","9,53 ","0,23","0,29","24,36 ","4450,00 ","912,50 ","8,00 "
"1,5",13,"562,65 ","11,64 ","0,24","0,3","27,46 ","4269,23 ","1029,23 ","8,67 "
"1,5",15,"562,65 ","15,66 ","0,24","0,31","31,99 ","3700,00 ","1200,00 ","10,00 "
"1,4",18,"608,27 ","13,05 ","0,23","0,28","20,80 ","3111,11 ","777,78 ","12,86 "
"1,4",20,"684,31 ","13,05 ","0,24","0,31","18,76 ","3150,00 ","700,00 ","14,29 "
"1,5",12,"684,31 ","13,05 ","0,22","0,3","33,35 ","5625,00 ","1250,00 ","8,00 "
"1,4",15,"425,79 ","3,79 ","0,26","0,29","7,30 ","2613,33 ","270,67 ","10,71 "
"1,5",15,"428,83 ","3,92 ","0,24","0,31","8,08 ","2820,00 ","300,00 ","10,00 "
"1,4",15,"479,01 ","6,27 ","0,24","0,31","12,02 ","2940,00 ","448,00 ","10,71 "
"1,5",18,"517,03 ","6,53 ","0,26","0,31","11,20 ","2833,33 ","416,67 ","12,00 "
"1,5",20,"532,24 ","6,27 ","0,22","0,28","9,70 ","2625,00 ","360,00 ","13,33 "
"1,4",18,"532,24 ","7,18 ","0,23","0,29","11,50 ","2722,22 ","427,78 ","12,86 "
"1,4",16,"561,13 ","8,48 ","0,24","0,3","15,24 ","3228,75 ","568,75 ","11,43 "
"1,5",17,"547,45 ","8,48 ","0,23","0,29","15,37 ","3176,47 ","573,53 ","11,33 "
"1,5",17,"532,24 ","7,83 ","0,25","0,31","14,19 ","3088,24 ","529,41 ","11,33 "
"1,5",20,"555,05 ","8,48 ","0,26","0,32","13,09 ","2737,50 ","487,50 ","13,33 "
"1,6",20,"565,69 ","8,88 ","0,24","0,3","14,59 ","2976,00 ","544,00 ","12,50 "
"1,6",20,"494,22 ","8,48 ","0,23","0,3","13,93 ","2600,00 ","520,00 ","12,50 "
"1,5",20,"562,65 ","8,48 ","0,26","0,34","13,09 ","2775,00 ","487,50 ","13,33 "
"1,6",20,"547,45 ","7,18 ","0,22","0,29","11,82 ","2880,00 ","440,00 ","12,50 "
"1,5",20,"555,05 ","7,18 ","0,22","0,29","11,10 ","2737,50 ","412,50 ","13,33 "
"1,7",18,"605,23 ","7,96 ","0,25","0,34","15,45 ","3758,89 ","576,11 ","10,59 "
"1,7",20,"608,27 ","8,48 ","0,26","0,35","14,83 ","3400,00 ","552,50 ","11,76 "
"1,5",25,"532,24 ","9,14 ","0,21","0,27","11,29 ","2100,00 ","420,00 ","16,67 "
"1,7",25,"524,64 ","6,53 ","0,2","0,28","9,17 ","2346,00 ","340,00 ","14,71 "
"1,6",30,"532,24 ","7,83 ","0,2","0,27","8,64 ","1866,67 ","320,00 ","18,75 "
"1,6",30,"593,07 ","8,88 ","0,23","0,3","9,79 ","2080,00 ","362,67 ","18,75 "
"1,6",30,"593,07 ","7,83 ","0,21","0,29","8,65 ","2080,00 ","320,00 ","18,75 "
"1,5",30,"577,86 ","8,48 ","0,2","0,27","8,78 ","1900,00 ","325,00 ","20,00 "
"1,5",30,"577,86 ","8,48 ","0,26","0,31","8,78 ","1900,00 ","325,00 ","20,00 "
"1,5",30,"608,27 ","8,48 ","0,21","0,28","8,79 ","2000,00 ","325,00 ","20,00 "
"1,6",25,"623,48 ","7,18 ","0,23","0,3","9,51 ","2624,00 ","352,00 ","15,63 "
"1,6",25,"623,48 ","7,18 ","0,24","0,32","9,51 ","2624,00 ","352,00 ","15,63 "
"1,5",22,"653,89 ","7,83 ","0,2","0,26","11,03 ","2931,82 ","409,09 ","14,67 "
"1,5",20,"653,89 ","8,88 ","0,2","0,24","13,71 ","3225,00 ","510,00 ","13,33 "
"1,6",12,"676,70 ","6,53 ","0,2","0,25","17,87 ","5933,33 ","666,67 ","7,50 "
"1,6",15,"669,10 ","6,53 ","0,2","0,26","14,33 ","4693,33 ","533,33 ","9,38 "
"1,6",20,"638,69 ","6,53 ","0,2","0,26","10,79 ","3360,00 ","400,00 ","12,50 "
"1,7",13,"711,68 ","6,27 ","0,2","0,28","16,85 ","6120,00 ","627,69 ","7,65 "
"1,7",10,"714,72 ","6,79 ","0,22","0,28","23,65 ","7990,00 ","884,00 ","5,88 "
"1,6",18,"737,53 ","7,18 ","0,23","0,31","13,17 ","4311,11 ","488,89 ","11,25 "
"1,7",13,"729,93 ","7,44 ","0,22","0,29","19,98 ","6276,92 ","745,38 ","7,65 "
"1,6",15,"608,27 ","6,27 ","0,23","0,3","13,75 ","4266,67 ","512,00 ","9,38 "
"1,5",25,"608,27 ","6,53 ","0,24","0,3","8,13 ","2400,00 ","300,00 ","16,67 "
"1,6",30,"547,45 ","5,87 ","0,2","0,26","6,52 ","1920,00 ","240,00 ","18,75 "
"1,5",30,"532,24 ","6,53 ","0,21","0,27","6,78 ","1750,00 ","250,00 ","20,00 "
"1,6",30,"547,45 ","7,18 ","0,22","0,28","7,93 ","1920,00 ","293,33 ","18,75 "
"1,6",30,"547,45 ","7,83 ","0,22","0,28","8,64 ","1920,00 ","320,00 ","18,75 "
"1,6",17,"608,27 ","6,40 ","0,22","0,29","12,40 ","3764,71 ","461,18 ","10,63 "
"1,5",20,"623,48 ","6,53 ","0,21","0,29","10,12 ","3075,00 ","375,00 ","13,33 "
"1,6",20,"638,69 ","7,83 ","0,22","0,28","12,91 ","3360,00 ","480,00 ","12,50 "
"1,6",25,"623,48 ","7,83 ","0,22","0,29","10,36 ","2624,00 ","384,00 ","15,63 "
"1,5",25,"623,48 ","7,83 ","0,25","0,31","9,72 ","2460,00 ","360,00 ","16,67 "
"1,7",25,"631,08 ","9,14 ","0,24","0,31","12,80 ","2822,00 ","476,00 ","14,71 "
"1,7",25,"623,48 ","8,48 ","0,23","0,31","11,90 ","2788,00 ","442,00 ","14,71 "
"1,5",25,"555,05 ","7,83 ","0,23","0,3","9,70 ","2190,00 ","360,00 ","16,67 "
"1,6",30,"562,65 ","7,83 ","0,24","0,33","8,65 ","1973,33 ","320,00 ","18,75 "
"1,7",22,"562,65 ","7,96 ","0,2","0,27","12,66 ","2859,09 ","471,36 ","12,94 "
"1,7",23,"593,07 ","7,83 ","0,22","0,3","11,93 ","2882,61 ","443,48 ","13,53 "
"1,6",30,"593,07 ","7,18 ","0,21","0,28","7,95 ","2080,00 ","293,33 ","18,75 "
"1,6",18,"684,31 ","9,14 ","0,22","0,28","16,70 ","4000,00 ","622,22 ","11,25 "
